Date,Game,Team,Opponent,Min,Pts,FG,FG%,2P,2P%,3P,3P%,FT,FT%,OREB,DREB,REB,AST,PF,TO,STL,BLK,PM,EFF
20230901,GroupL,ESP,LAT,200,69,21/53,39.60%,14/32,43.80%,7/21,33.30%,20/31,64.50%,10,24,34,23,24,16,7,1,-5,71
20230901,GroupL,LAT,ESP,200,74,26/59,44.10%,18/34,52.90%,8/25,32%,14/19,73.70%,10,26,36,15,26,16,7,3,5,75
20230901,GroupL,CAN,BRA,200,65,21/63,33.30%,13/33,39.40%,8/30,26.70%,15/17,88.20%,13,24,37,10,20,9,2,3,-4,63
20230901,GroupL,BRA,CAN,200,69,25/63,39.70%,20/36,55.60%,5/27,18.50%,14/16,87.50%,14,29,43,17,17,9,6,4,4,89
20230903,GroupL,BRA,LAT,200,84,29/64,45.30%,22/40,55%,7/24,29.20%,19/24,79.20%,13,23,36,21,19,11,2,1,-20,90
20230903,GroupL,LAT,BRA,200,104,38/66,57.60%,22/33,66.70%,16/33,48.50%,12/12,100%,5,21,26,24,24,6,3,3,20,125
20230903,GroupL,ESP,CAN,200,85,29/62,46.80%,20/36,55.60%,9/26,34.60%,18/20,90%,11,21,32,28,28,14,7,4,-3,101
20230903,GroupL,CAN,ESP,200,88,28/57,49.10%,17/33,51.50%,11/24,45.80%,21/25,84%,9,22,31,18,22,15,6,4,3,97
20230831,GroupM,ANG,CHN,200,76,25/63,39.70%,20/37,54.10%,5/26,19.20%,21/34,61.80%,19,23,42,19,26,17,9,1,-7,75
20230831,GroupM,CHN,ANG,200,83,27/55,49.10%,22/39,56.40%,5/16,31.20%,24/33,72.70%,8,25,33,22,24,17,7,4,7,93
20230831,GroupM,SSD,PHI,200,87,31/76,40.80%,19/43,44.20%,12/33,36.40%,13/15,86.70%,11,35,46,25,14,9,7,4,19,112
20230831,GroupM,PHI,SSD,200,68,26/74,35.10%,16/42,38.10%,10/32,31.20%,6/13,46.20%,15,33,48,15,16,15,6,7,-19,70
20230902,GroupM,ANG,SSD,200,78,24/76,31.60%,15/37,40.50%,9/39,23.10%,21/29,72.40%,25,19,44,18,25,10,6,2,-23,68
20230902,GroupM,SSD,ANG,200,101,33/61,54.10%,24/38,63.20%,9/23,39.10%,26/33,78.80%,10,31,41,26,26,11,5,9,23,131
20230902,GroupM,PHI,CHN,200,96,35/72,48.60%,26/42,61.90%,9/30,30%,17/22,77.30%,13,33,46,18,17,9,7,3,21,112
20230902,GroupM,CHN,PHI,200,75,26/62,41.90%,21/40,52.50%,5/22,22.70%,18/20,90%,5,26,31,18,19,11,4,0,-21,78
20230831,GroupN,NZL,MEX,200,100,31/67,46.30%,14/26,53.80%,17/41,41.50%,21/28,75%,14,20,34,29,24,14,5,1,-8,109
20230831,GroupN,MEX,NZL,200,108,37/72,51.40%,23/47,48.90%,14/25,56%,20/25,80%,16,25,41,27,25,13,8,0,8,122
20230831,GroupN,EGY,JOR,200,85,31/66,47%,25/47,53.20%,6/19,31.60%,17/23,73.90%,17,29,46,17,14,17,12,5,16,102
20230831,GroupN,JOR,EGY,200,69,26/62,41.90%,15/33,45.50%,11/29,37.90%,6/8,75%,8,23,31,14,19,18,6,5,-16,66
20230902,GroupN,NZL,EGY,200,88,26/63,41.30%,19/38,50%,7/25,28%,29/36,80.60%,14,26,40,20,22,12,8,3,2,98
20230902,GroupN,EGY,NZL,200,86,33/71,46.50%,26/46,56.50%,7/25,28%,13/24,54.20%,16,25,41,19,27,13,7,5,-2,92
20230902,GroupN,JOR,MEX,200,80,25/61,41%,19/37,51.40%,6/24,25%,24/35,68.60%,10,20,30,22,20,13,10,2,-13,83
20230902,GroupN,MEX,JOR,200,93,31/63,49.20%,19/35,54.30%,12/28,42.90%,19/24,79.20%,12,30,42,21,24,15,7,1,13,106
